charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
26WQTIAGLK7THAU6NNZLKBFVVPBAESWH,crawl-data/CC-MAIN-2019-04/segments/1547583657151.48/robotstxt/CC-MAIN-20190116093643-20190116115643-00583.warc.gz,74500,text/html,text/html,2811349,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,6T2NOHLK7UOPS5CT6CZCXTTZUIF2NAZO,crawl-data/CC-MAIN-2019-04/segments/1547583657151.48/warc/CC-MAIN-20190116093643-20190116115643-00200.warc.gz,eng,74462,text/html,text/html,879059801,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,HKH7Y6XNTUUNNDJ4K6UULTYVQDDGPZV2,crawl-data/CC-MAIN-2019-04/segments/1547583657510.42/warc/CC-MAIN-20190116134421-20190116160421-00200.warc.gz,eng,76275,text/html,text/html,904010131,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,7JA7UXIFBNR4XA3WWBRRWOR4D6ZIDMGO,crawl-data/CC-MAIN-2019-04/segments/1547583657555.87/warc/CC-MAIN-20190116154927-20190116180927-00200.warc.gz,eng,76830,text/html,text/html,906452880,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,LQDJ7WMDEXZXF2DV2Y3X6F63MRVXJIVS,crawl-data/CC-MAIN-2019-04/segments/1547583657557.2/warc/CC-MAIN-20190116175238-20190116201238-00200.warc.gz,eng,91048,text/html,text/html,875598973,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,E7DFJG4DMITJOCU77QBY7Y6S6QHPX4R4,crawl-data/CC-MAIN-2019-04/segments/1547583657867.24/warc/CC-MAIN-20190116195543-20190116221543-00200.warc.gz,eng,95878,text/html,text/html,878065392,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
UY6H32QB4LXZX6PMFEWKS7FNM65C36PP,crawl-data/CC-MAIN-2019-04/segments/1547583657907.79/robotstxt/CC-MAIN-20190116215800-20190117001800-00583.warc.gz,95535,text/html,text/html,2906476,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,4DD2XSNRNSYTYR5M7UC62SQE2JKV4OCW,crawl-data/CC-MAIN-2019-04/segments/1547583657907.79/warc/CC-MAIN-20190116215800-20190117001800-00200.warc.gz,eng,94915,text/html,text/html,900906802,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,S3WQ3LPR5WMCZUIFG5QXOFYR7EHNWW7U,crawl-data/CC-MAIN-2019-04/segments/1547583658681.7/warc/CC-MAIN-20190117020806-20190117042806-00200.warc.gz,eng,93930,text/html,text/html,879709419,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
V5OU4HEBMFLHHDSZGQSAIBKAFRFEG32T,crawl-data/CC-MAIN-2019-04/segments/1547583658681.7/robotstxt/CC-MAIN-20190117020806-20190117042806-00583.warc.gz,93956,text/html,text/html,2860444,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,I5QHZWC2K6VR2SWBC6MNUWLWHPKAYYJW,crawl-data/CC-MAIN-2019-04/segments/1547583658702.9/warc/CC-MAIN-20190117041621-20190117063621-00200.warc.gz,eng,94490,text/html,text/html,898198795,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,XYMUDWPHJNFHIYZNGV37KXSQZO3F6P5P,crawl-data/CC-MAIN-2019-04/segments/1547583658844.27/warc/CC-MAIN-20190117062012-20190117084012-00200.warc.gz,eng,94601,text/html,text/html,876188155,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,PMHTPDAJ2GSG57OKJDOOINATHORG4N3Y,crawl-data/CC-MAIN-2019-04/segments/1547583658901.41/warc/CC-MAIN-20190117082302-20190117104302-00200.warc.gz,eng,94613,text/html,text/html,894337909,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,S4CQQDXIJILGA7WJ6RPCKLY6IFNTK5QX,crawl-data/CC-MAIN-2019-04/segments/1547583658928.22/warc/CC-MAIN-20190117102635-20190117124635-00200.warc.gz,eng,94610,text/html,text/html,873293924,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
BYDJY5EPBQWQLWQJO56HA7EGIV4XDUS6,crawl-data/CC-MAIN-2019-04/segments/1547583658928.22/robotstxt/CC-MAIN-20190117102635-20190117124635-00583.warc.gz,88879,text/html,text/html,2582219,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,GCBXNDUEUGS5Z2GGBD6A7KXQVZ32IWKO,crawl-data/CC-MAIN-2019-04/segments/1547583658981.19/warc/CC-MAIN-20190117123059-20190117145059-00200.warc.gz,eng,90245,text/html,text/html,884058130,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
NRRCOFQPJX6P5CKO3ZQA2PUK2YTE4R5C,crawl-data/CC-MAIN-2019-04/segments/1547583658988.30/robotstxt/CC-MAIN-20190117143601-20190117165601-00583.warc.gz,90115,text/html,text/html,2765581,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,SFOXVSZALEHCVOKL5XXVBDTPHZ7EZSSM,crawl-data/CC-MAIN-2019-04/segments/1547583658988.30/warc/CC-MAIN-20190117143601-20190117165601-00200.warc.gz,eng,90253,text/html,text/html,880064222,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,HFLLJQBOGXYI2PFNN6K45RXNAWUTW7BT,crawl-data/CC-MAIN-2019-04/segments/1547583659056.44/warc/CC-MAIN-20190117163938-20190117185938-00200.warc.gz,eng,98797,text/html,text/html,927783205,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,YZTVAOB6EQMN36UVERLLNJD5LGYH3TUS,crawl-data/CC-MAIN-2019-04/segments/1547583659063.33/warc/CC-MAIN-20190117184304-20190117210304-00200.warc.gz,eng,101169,text/html,text/html,903132581,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,5DDSUT2IYTN2LHNW3Q3GLKLPZ432LABP,crawl-data/CC-MAIN-2019-04/segments/1547583659340.1/warc/CC-MAIN-20190117204652-20190117230652-00200.warc.gz,eng,91737,text/html,text/html,901004118,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,FSWO4HYDLW5O6QJQY24C35C24E2TO6TB,crawl-data/CC-MAIN-2019-04/segments/1547583659417.14/warc/CC-MAIN-20190117224929-20190118010929-00200.warc.gz,eng,86039,text/html,text/html,922286710,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,YRDP7XAFZAXJMQACLG5QGKGWE5WMJNWK,crawl-data/CC-MAIN-2019-04/segments/1547583659654.11/warc/CC-MAIN-20190118005216-20190118031216-00200.warc.gz,eng,85154,text/html,text/html,890116109,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
IDQBPU3SQZRFQJFAAJ65XBVYP7P4ACN5,crawl-data/CC-MAIN-2019-04/segments/1547583659890.6/robotstxt/CC-MAIN-20190118045835-20190118071835-00583.warc.gz,95034,text/html,text/html,2845297,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,BAF2DJICHX5EAI3Y3DPFJWXZ247PN4MS,crawl-data/CC-MAIN-2019-04/segments/1547583659890.6/warc/CC-MAIN-20190118045835-20190118071835-00200.warc.gz,eng,95033,text/html,text/html,864216631,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,FL2M5HQ4QP22S3EVOFT6RIL3GVOXD2X2,crawl-data/CC-MAIN-2019-04/segments/1547583660020.5/warc/CC-MAIN-20190118090507-20190118112507-00200.warc.gz,eng,94925,text/html,text/html,890489324,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
S36UDZ3MJSKS3G5UBWVBTMIDKAUTSGT5,crawl-data/CC-MAIN-2019-04/segments/1547583660258.36/robotstxt/CC-MAIN-20190118172438-20190118194438-00583.warc.gz,94724,text/html,text/html,3332410,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,S36UDZ3MJSKS3G5UBWVBTMIDKAUTSGT5,crawl-data/CC-MAIN-2019-04/segments/1547583660258.36/warc/CC-MAIN-20190118172438-20190118194438-00200.warc.gz,eng,94721,text/html,text/html,894021232,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
J3E4PNJRDSTKBMH3PH2LMWHJY5KK3IF4,crawl-data/CC-MAIN-2019-04/segments/1547583660529.12/robotstxt/CC-MAIN-20190118193139-20190118215139-00583.warc.gz,87778,text/html,text/html,3241518,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,3TTE3JSNPSKZIGQXMI4Z3FPAHBWSPAY2,crawl-data/CC-MAIN-2019-04/segments/1547583660529.12/warc/CC-MAIN-20190118193139-20190118215139-00200.warc.gz,eng,87727,text/html,text/html,919725045,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,OXEYF7DZUC6QGYRTB3VHHJZ52S2I5VEQ,crawl-data/CC-MAIN-2019-04/segments/1547583660818.25/warc/CC-MAIN-20190118213433-20190118235433-00200.warc.gz,eng,79461,text/html,text/html,921348057,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
U7AV5EPA33EEYLZGRUKGA4E4HYETERXF,crawl-data/CC-MAIN-2019-04/segments/1547583660877.4/robotstxt/CC-MAIN-20190118233719-20190119015719-00583.warc.gz,79504,text/html,text/html,3342060,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,U7AV5EPA33EEYLZGRUKGA4E4HYETERXF,crawl-data/CC-MAIN-2019-04/segments/1547583660877.4/warc/CC-MAIN-20190118233719-20190119015719-00200.warc.gz,eng,79504,text/html,text/html,900625974,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,ST3RKNHSZFFSHWCFXXAXOCFRXMOZLQA4,crawl-data/CC-MAIN-2019-04/segments/1547583662124.0/warc/CC-MAIN-20190119034320-20190119060320-00200.warc.gz,eng,92052,text/html,text/html,876084277,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
IEK4IWDIHUCKYEUITJCR6ADOG5HPGVAF,crawl-data/CC-MAIN-2019-04/segments/1547583662690.13/robotstxt/CC-MAIN-20190119054606-20190119080606-00583.warc.gz,91620,text/html,text/html,3952553,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,Y2WLQZFXGQ6EEPH4WJRCF6NCW7Z3AP5I,crawl-data/CC-MAIN-2019-04/segments/1547583662690.13/warc/CC-MAIN-20190119054606-20190119080606-00200.warc.gz,eng,91586,text/html,text/html,865791942,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,BVM4TMOAV27PDDOVJZ5FAP4NKMKBN7E4,crawl-data/CC-MAIN-2019-04/segments/1547583662893.38/warc/CC-MAIN-20190119095153-20190119121153-00200.warc.gz,eng,91583,text/html,text/html,904931914,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,EREEWETFEM6HIC5RUJNA2JYJJACI65G7,crawl-data/CC-MAIN-2019-04/segments/1547583690495.59/warc/CC-MAIN-20190120021730-20190120043730-00200.warc.gz,eng,88574,text/html,text/html,888209272,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,EKWSIUN4RKSQLQR4LLDYH7K3VVGV4OZA,crawl-data/CC-MAIN-2019-04/segments/1547583700012.70/warc/CC-MAIN-20190120042010-20190120064010-00200.warc.gz,eng,88652,text/html,text/html,909041096,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,PXLOWDKMCJ5VW5DKHDDWB6E4C5TKCGQS,crawl-data/CC-MAIN-2019-04/segments/1547583700734.43/warc/CC-MAIN-20190120062400-20190120084400-00200.warc.gz,eng,90487,text/html,text/html,886025795,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,45O22I7XKDKJMSTCWBIZGS6M7RIKHBGF,crawl-data/CC-MAIN-2019-04/segments/1547583716358.66/warc/CC-MAIN-20190120123138-20190120145138-00200.warc.gz,eng,81749,text/html,text/html,877735012,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,E53BPW7EC6G7ZSFCFJ4UWZ35KF4QVCCI,crawl-data/CC-MAIN-2019-04/segments/1547583722261.60/warc/CC-MAIN-20190120143527-20190120165527-00200.warc.gz,eng,83258,text/html,text/html,893738549,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
OTKEAE4LPBN55FFWHLL6XQBZTV7LSDER,crawl-data/CC-MAIN-2019-04/segments/1547583739170.35/robotstxt/CC-MAIN-20190120204649-20190120230649-00583.warc.gz,74068,text/html,text/html,2775637,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,OTKEAE4LPBN55FFWHLL6XQBZTV7LSDER,crawl-data/CC-MAIN-2019-04/segments/1547583739170.35/warc/CC-MAIN-20190120204649-20190120230649-00200.warc.gz,eng,74072,text/html,text/html,879238948,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,2HZYVBEV4HULVPWFYTE6PHBZLFPTXEYX,crawl-data/CC-MAIN-2019-04/segments/1547583745010.63/warc/CC-MAIN-20190121005305-20190121031305-00200.warc.gz,eng,77064,text/html,text/html,889299705,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,KTJMHTH5WIGNIJKLHX6JCMFABTAF33CV,crawl-data/CC-MAIN-2019-04/segments/1547583755653.69/warc/CC-MAIN-20190121025613-20190121051613-00200.warc.gz,eng,77064,text/html,text/html,885652643,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,IQ643VHSAEEMPYFG6QE42AERTGO3NCHK,crawl-data/CC-MAIN-2019-04/segments/1547583763149.45/warc/CC-MAIN-20190121050026-20190121072026-00200.warc.gz,eng,77513,text/html,text/html,876964482,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,CC2VSIN33O33T3BJCMYPGXVTXTXG3JEK,crawl-data/CC-MAIN-2019-04/segments/1547583763839.28/warc/CC-MAIN-20190121070334-20190121092334-00200.warc.gz,eng,77849,text/html,text/html,846863862,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
GIIOR2QGYKYMTJGF5MHFEZCDBCBLFE4O,crawl-data/CC-MAIN-2019-04/segments/1547583771929.47/robotstxt/CC-MAIN-20190121090642-20190121112642-00583.warc.gz,77389,text/html,text/html,3155299,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,QSXTK2BE2NN6354F6J3ADLFAHWDKG7LL,crawl-data/CC-MAIN-2019-04/segments/1547583771929.47/warc/CC-MAIN-20190121090642-20190121112642-00200.warc.gz,eng,77389,text/html,text/html,890943882,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,OUC2DSPQMVPC4CYPXLQFZYXETEGCSSYQ,crawl-data/CC-MAIN-2019-04/segments/1547583792784.64/warc/CC-MAIN-20190121131658-20190121153658-00200.warc.gz,eng,87010,text/html,text/html,882297793,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,MEY7R65BTKTWETI4M5MC6ADDL6E527JT,crawl-data/CC-MAIN-2019-04/segments/1547583795042.29/warc/CC-MAIN-20190121152218-20190121174218-00200.warc.gz,eng,90071,text/html,text/html,885870250,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,W7PQHAE56O6DBJDPV7JMLVJO7FZNDRAM,crawl-data/CC-MAIN-2019-04/segments/1547583804001.73/warc/CC-MAIN-20190121172846-20190121194846-00200.warc.gz,eng,89699,text/html,text/html,869540761,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,3REHAZN63XZR3X3HTTWLA5V2J3UO7IV2,crawl-data/CC-MAIN-2019-04/segments/1547583807724.75/warc/CC-MAIN-20190121193154-20190121215154-00200.warc.gz,eng,90485,text/html,text/html,903647235,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,REBSMROBG2VHIC5JDWJFZ4HF6FJRKZ6H,crawl-data/CC-MAIN-2019-04/segments/1547583814455.32/warc/CC-MAIN-20190121213506-20190121235506-00200.warc.gz,eng,98181,text/html,text/html,870310905,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,UORSELXHBR55DQAQGXVWXRT7773OBWRA,crawl-data/CC-MAIN-2019-04/segments/1547583822341.72/warc/CC-MAIN-20190121233709-20190122015709-00200.warc.gz,eng,95212,text/html,text/html,874443547,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,FJUNDYQZZHJROI6WGSG2AXJDFYUZV3BU,crawl-data/CC-MAIN-2019-04/segments/1547583823140.78/warc/CC-MAIN-20190122013923-20190122035923-00200.warc.gz,eng,95290,text/html,text/html,876124974,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
VMTRK2K3XPJFDXTDB6XOYY7RB25LD4UU,crawl-data/CC-MAIN-2019-04/segments/1547583826240.93/robotstxt/CC-MAIN-20190122034213-20190122060213-00583.warc.gz,95306,text/html,text/html,2783468,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,5K7GJVYSDNWDG7FMQQ5ENF7QJK3F2QJD,crawl-data/CC-MAIN-2019-04/segments/1547583826240.93/warc/CC-MAIN-20190122034213-20190122060213-00200.warc.gz,eng,92734,text/html,text/html,867916782,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,WZDA2VAI5V5T7ZLHDWNU3FPTOW5MWZT5,crawl-data/CC-MAIN-2019-04/segments/1547583829665.84/warc/CC-MAIN-20190122054634-20190122080634-00200.warc.gz,eng,92413,text/html,text/html,880034673,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,3SAVB4UF6S6R7OHKF7S6DKT5YD5DRWJG,crawl-data/CC-MAIN-2019-04/segments/1547583831770.96/warc/CC-MAIN-20190122074945-20190122100945-00200.warc.gz,eng,92249,text/html,text/html,883952788,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
TEGKLRLBRIIYMJGHYEEZVFVMR26ODQOM,crawl-data/CC-MAIN-2019-04/segments/1547583831770.96/robotstxt/CC-MAIN-20190122074945-20190122100945-00583.warc.gz,92286,text/html,text/html,3259437,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,A67N57D2YNYXLTWA6WEEIJGEOEM5YXRM,crawl-data/CC-MAIN-2019-04/segments/1547583835626.56/warc/CC-MAIN-20190122095409-20190122121409-00200.warc.gz,eng,73867,text/html,text/html,877240519,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
LZ2YSVTZCLMVEFYPSEIQDBEHD4JCIHIN,crawl-data/CC-MAIN-2019-04/segments/1547583835626.56/robotstxt/CC-MAIN-20190122095409-20190122121409-00583.warc.gz,73892,text/html,text/html,3655695,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,AG2B3UPTZES3TDMH57KW2HZRQWVQRC53,crawl-data/CC-MAIN-2019-04/segments/1547583850393.61/warc/CC-MAIN-20190122120040-20190122142040-00200.warc.gz,eng,79458,text/html,text/html,871596129,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
NZT6TGDCPGSXAHTFV6VF23GZ2RGNYLJ3,crawl-data/CC-MAIN-2019-04/segments/1547583857913.57/robotstxt/CC-MAIN-20190122140606-20190122162606-00583.warc.gz,78587,text/html,text/html,3412152,200,2.01901E+13,https://www.nytimes.com,"com,nytimes)/",,
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,GTP4EGP77PZUWWJE5RVALXIFVAQUEJCE,crawl-data/CC-MAIN-2019-04/segments/1547583857913.57/warc/CC-MAIN-20190122140606-20190122162606-00200.warc.gz,eng,78585,text/html,text/html,893003385,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,2KRHXKCWEAY7HKMCPKDBAXXPYCIWOZ23,crawl-data/CC-MAIN-2019-04/segments/1547583857993.67/warc/CC-MAIN-20190122161345-20190122183345-00200.warc.gz,eng,88703,text/html,text/html,884749529,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,XEE3MWHEZATQ3EVZCN6U7ZKPQHZBWSOS,crawl-data/CC-MAIN-2019-04/segments/1547583867214.54/warc/CC-MAIN-20190122182019-20190122204019-00200.warc.gz,eng,91462,text/html,text/html,887524374,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,TLAAG7GAMQHLXGFEXNMXOJT5OP7UET3E,crawl-data/CC-MAIN-2019-04/segments/1547583874494.65/warc/CC-MAIN-20190122202547-20190122224547-00200.warc.gz,eng,85216,text/html,text/html,890168541,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,K4GDUFICZC4HJBNBQUESWY6XIEBOYRP4,crawl-data/CC-MAIN-2019-04/segments/1547583879117.74/warc/CC-MAIN-20190123003356-20190123025356-00200.warc.gz,eng,91074,text/html,text/html,891641464,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,XAJARJCLZ7G2EHIEZU62JPUH7M6M7RLO,crawl-data/CC-MAIN-2019-04/segments/1547583884996.76/warc/CC-MAIN-20190123023710-20190123045710-00200.warc.gz,eng,93010,text/html,text/html,899553097,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
charset,digest,filename,languages,length,mime,mime-detected,offset,status,timestamp,url,urlkey
UTF-8,PQGQPUTEJRCARGZSRIYEF6UR2NWCT47I,crawl-data/CC-MAIN-2019-04/segments/1547583897417.81/warc/CC-MAIN-20190123044447-20190123070447-00200.warc.gz,eng,90657,text/html,text/html,902123133,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/"
digest,filename,length,mime,mime-detected,offset,status,timestamp,url,urlkey,,
ZLC2TI7TRKLT3YM3POABTFTRG6TBGS5Z,crawl-data/CC-MAIN-2019-04/segments/1547584203540.82/robotstxt/CC-MAIN-20190123064911-20190123090911-00200.warc.gz,90848,text/html,text/html,3152561,200,2.01901E+13,https://www.nytimes.com/,"com,nytimes)/",,
